id,generation,founder,dosage
417,0,1,8535.0
418,0,1,8422.0
419,0,1,8308.0
420,0,1,8446.0
421,0,1,8528.0
422,0,1,
423,0,1,8480.0
424,0,1,
425,0,1,
426,0,1,8425.0
427,0,1,8337.0
428,0,1,8492.0
429,0,1,8423.0
430,0,1,8402.0
431,0,1,
432,0,1,8483.0
433,0,1,
434,0,1,8516.0
435,0,1,8581.0
436,0,1,8622.0
437,0,1,
438,0,1,
439,0,1,8380.0
440,0,1,8444.0
441,0,1,
442,0,1,8386.0
443,0,1,8393.0
444,0,1,8461.0
445,0,1,8462.0
446,0,1,
447,0,1,8289.0
448,0,1,
449,0,1,8427.0
450,0,1,8450.0
451,0,1,8475.0
452,0,1,8507.0
453,0,1,8334.0
454,0,1,
455,0,1,
456,0,1,
457,0,1,
458,0,1,8453.0
459,0,1,
460,0,1,8457.0
461,0,1,
462,0,1,
463,0,1,8460.0
464,0,1,8533.0
465,0,1,
466,0,1,8514.0
467,0,1,
468,0,1,
469,0,1,8430.0
470,0,1,8425.0
471,0,1,
472,0,1,
473,0,1,
474,0,1,8536.0
475,0,1,
476,0,1,8531.0
477,0,1,8429.0
478,0,1,
479,0,1,
480,0,1,
481,0,1,
482,0,1,
483,0,1,
484,0,1,
485,0,1,
486,0,1,
487,0,1,8475.0
488,0,1,
489,0,1,
490,0,1,
491,0,1,
492,0,1,
493,0,1,
494,0,1,
495,0,1,8469.0
496,0,1,8392.0
497,0,1,8479.0
498,0,1,
499,0,1,
500,1,0,
501,1,0,8346.0
502,1,0,
503,1,0,
504,1,0,
505,1,0,
506,1,0,8530.0
507,1,0,
508,1,0,
509,1,0,8371.0
510,1,0,
511,1,0,
512,1,0,
513,1,0,
514,1,0,8394.0
515,1,0,8432.0
516,1,0,
517,1,0,8440.0
518,1,0,
519,1,0,
520,1,0,
521,1,0,8563.0
522,1,0,
523,1,0,
524,1,0,
525,1,0,
526,1,0,8503.0
527,1,0,
528,1,0,
529,1,0,8283.0
530,1,0,8411.0
531,1,0,8498.0
532,1,0,
533,1,0,8438.0
534,1,0,8471.0
535,1,0,8461.0
536,1,0,8464.0
537,1,0,8475.0
538,1,0,8455.0
539,1,0,
540,1,0,8433.0
541,1,0,
542,1,0,
543,1,0,
544,1,0,8403.0
545,1,0,
546,1,0,8448.0
547,1,0,8489.0
548,1,0,8394.0
549,1,0,8453.0
550,1,0,
551,1,0,8508.0
552,1,0,
553,1,0,8427.0
554,1,0,
555,1,0,
556,1,0,
557,1,0,8429.0
558,1,0,
559,1,0,8368.0
560,1,0,
561,1,0,8547.0
562,1,0,
563,1,0,8342.0
564,1,0,
565,1,0,8432.0
566,1,0,8454.0
567,1,0,
568,1,0,8334.0
569,1,0,8367.0
570,1,0,
571,1,0,
572,1,0,
573,1,0,
574,1,0,8644.0
575,1,0,
576,1,0,8533.0
577,1,0,8484.0
